starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 11:54:07 2021	1635094447	1	11	13	7
Sun Oct 24 11:54:07 2021	1635094447	3	21	24	21
Sun Oct 24 11:54:07 2021	1635094447	3	21	24	21
Sun Oct 24 11:54:07 2021	1635094447	3	25	27	25
Sun Oct 24 11:54:07 2021	1635094447	3	33	36	33
Sun Oct 24 11:54:07 2021	1635094447	3	37	40	37
Sun Oct 24 11:54:07 2021	1635094447	3	40	43	40
Sun Oct 24 11:54:07 2021	1635094447	3	48	50	47
Sun Oct 24 11:54:07 2021	1635094447	3	49	52	49
Sun Oct 24 11:54:07 2021	1635094447	3	55	58	55
Sun Oct 24 11:54:07 2021	1635094447	3	61	64	61
Sun Oct 24 11:54:07 2021	1635094447	3	63	66	63
Sun Oct 24 11:54:07 2021	1635094447	3	69	72	69
Sun Oct 24 11:54:07 2021	1635094447	3	75	78	75
Sun Oct 24 11:54:07 2021	1635094447	3	77	79	77
Sun Oct 24 11:54:07 2021	1635094447	3	83	85	83
Sun Oct 24 11:54:07 2021	1635094447	3	89	92	89
Sun Oct 24 11:54:07 2021	1635094447	3	92	94	92
Sun Oct 24 11:54:07 2021	1635094447	2	97	99	97
Sun Oct 24 11:54:07 2021	1635094447	2	104	106	104
Sun Oct 24 11:54:07 2021	1635094447	2	105	108	105
Sun Oct 24 11:54:07 2021	1635094447	2	111	114	111
Sun Oct 24 11:54:07 2021	1635094447	2	117	120	117
Sun Oct 24 11:54:07 2021	1635094447	2	119	121	119
Sun Oct 24 11:54:07 2021	1635094447	2	124	127	124
Sun Oct 24 11:54:07 2021	1635094447	2	129	132	129
Sun Oct 24 11:54:07 2021	1635094447	2	132	135	132
Sun Oct 24 11:54:07 2021	1635094447	2	140	142	140
Sun Oct 24 11:54:07 2021	1635094447	2	144	146	144
Sun Oct 24 11:54:07 2021	1635094447	2	146	149	146
Sun Oct 24 11:54:07 2021	1635094447	2	153	156	153
Sun Oct 24 11:54:07 2021	1635094447	2	158	161	158
Sun Oct 24 11:54:07 2021	1635094447	2	161	164	161
Sun Oct 24 11:54:07 2021	1635094447	2	169	171	169
Sun Oct 24 11:54:07 2021	1635094447	2	173	176	173
Sun Oct 24 11:54:07 2021	1635094447	2	176	178	176
Sun Oct 24 11:54:07 2021	1635094447	2	184	186	184
Sun Oct 24 11:54:07 2021	1635094447	2	188	190	188
Sun Oct 24 11:54:07 2021	1635094447	2	189	191	189
Sun Oct 24 11:54:07 2021	1635094447	2	198	201	198
Sun Oct 24 11:54:07 2021	1635094447	2	201	203	201
Sun Oct 24 11:54:07 2021	1635094447	2	203	205	200
Sun Oct 24 11:54:07 2021	1635094447	2	210	213	210
