starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:20:10 2021	1635096010	0	17	17	7
Sun Oct 24 12:20:10 2021	1635096010	10	20	30	20
Sun Oct 24 12:20:10 2021	1635096010	10	21	32	21
Sun Oct 24 12:20:10 2021	1635096010	10	23	33	23
Sun Oct 24 12:20:10 2021	1635096010	10	33	43	33
Sun Oct 24 12:20:10 2021	1635096010	10	35	45	34
Sun Oct 24 12:20:10 2021	1635096010	10	36	47	36
Sun Oct 24 12:20:10 2021	1635096010	10	45	56	45
Sun Oct 24 12:20:10 2021	1635096010	10	47	57	47
Sun Oct 24 12:20:10 2021	1635096010	10	49	59	49
Sun Oct 24 12:20:10 2021	1635096010	10	58	69	58
Sun Oct 24 12:20:10 2021	1635096010	10	60	70	60
Sun Oct 24 12:20:10 2021	1635096010	10	62	72	62
Sun Oct 24 12:20:10 2021	1635096010	10	71	81	71
Sun Oct 24 12:20:10 2021	1635096010	10	72	83	72
Sun Oct 24 12:20:10 2021	1635096010	10	75	85	75
Sun Oct 24 12:20:10 2021	1635096010	10	83	93	83
Sun Oct 24 12:20:10 2021	1635096010	10	85	96	85
Sun Oct 24 12:20:10 2021	1635096010	10	87	97	87
Sun Oct 24 12:20:10 2021	1635096010	10	96	106	96
Sun Oct 24 12:20:10 2021	1635096010	10	98	108	98
Sun Oct 24 12:20:10 2021	1635096010	10	99	109	99
Sun Oct 24 12:20:10 2021	1635096010	10	109	118	108
Sun Oct 24 12:20:10 2021	1635096010	10	110	120	110
Sun Oct 24 12:20:10 2021	1635096010	10	112	122	111
Sun Oct 24 12:20:10 2021	1635096010	10	120	130	120
Sun Oct 24 12:20:10 2021	1635096010	10	122	132	122
Sun Oct 24 12:20:10 2021	1635096010	10	124	134	124
Sun Oct 24 12:20:10 2021	1635096010	10	133	143	133
Sun Oct 24 12:20:10 2021	1635096010	10	135	144	135
Sun Oct 24 12:20:10 2021	1635096010	10	136	146	136
Sun Oct 24 12:20:10 2021	1635096010	10	146	156	146
Sun Oct 24 12:20:10 2021	1635096010	10	146	156	146
Sun Oct 24 12:20:10 2021	1635096010	10	149	159	149
Sun Oct 24 12:20:10 2021	1635096010	10	158	168	158
Sun Oct 24 12:20:10 2021	1635096010	10	160	169	160
Sun Oct 24 12:20:10 2021	1635096010	10	161	171	161
Sun Oct 24 12:20:10 2021	1635096010	10	170	180	170
Sun Oct 24 12:20:10 2021	1635096010	10	172	181	172
Sun Oct 24 12:20:10 2021	1635096010	10	173	183	173
Sun Oct 24 12:20:10 2021	1635096010	10	182	192	182
Sun Oct 24 12:20:10 2021	1635096010	10	184	194	184
Sun Oct 24 12:20:10 2021	1635096010	9	186	195	186
Sun Oct 24 12:20:10 2021	1635096010	9	196	206	196
Sun Oct 24 12:20:10 2021	1635096010	9	198	207	198
Sun Oct 24 12:20:10 2021	1635096010	9	200	209	200
Sun Oct 24 12:20:10 2021	1635096010	9	209	219	209
Sun Oct 24 12:20:10 2021	1635096010	9	210	220	210
Sun Oct 24 12:20:10 2021	1635096010	9	213	222	213
Sun Oct 24 12:20:10 2021	1635096010	9	222	231	222
Sun Oct 24 12:20:10 2021	1635096010	9	224	233	224
Sun Oct 24 12:20:10 2021	1635096010	9	225	235	225
Sun Oct 24 12:20:10 2021	1635096010	9	234	243	234
Sun Oct 24 12:20:10 2021	1635096010	9	235	244	235
Sun Oct 24 12:20:10 2021	1635096010	9	239	248	239
Sun Oct 24 12:20:10 2021	1635096010	9	249	258	248
Sun Oct 24 12:20:10 2021	1635096010	9	250	259	250
Sun Oct 24 12:20:10 2021	1635096010	9	252	261	252
Sun Oct 24 12:20:10 2021	1635096010	9	261	270	261
Sun Oct 24 12:20:10 2021	1635096010	9	262	271	262
Sun Oct 24 12:20:10 2021	1635096010	9	264	273	264
Sun Oct 24 12:20:10 2021	1635096010	9	274	283	274
Sun Oct 24 12:20:10 2021	1635096010	9	274	283	274
Sun Oct 24 12:20:10 2021	1635096010	9	277	286	277
Sun Oct 24 12:20:10 2021	1635096010	9	286	295	286
Sun Oct 24 12:20:10 2021	1635096010	9	289	298	289
Sun Oct 24 12:20:10 2021	1635096010	9	291	300	291
Sun Oct 24 12:20:10 2021	1635096010	9	301	310	301
Sun Oct 24 12:20:10 2021	1635096010	9	302	311	302
Sun Oct 24 12:20:10 2021	1635096010	9	305	314	305
Sun Oct 24 12:20:10 2021	1635096010	9	316	325	316
Sun Oct 24 12:20:10 2021	1635096010	9	318	326	315
Sun Oct 24 12:20:10 2021	1635096010	9	319	328	319
Sun Oct 24 12:20:10 2021	1635096010	9	330	339	330
Sun Oct 24 12:20:10 2021	1635096010	9	331	340	331
Sun Oct 24 12:20:10 2021	1635096010	9	333	342	333
Sun Oct 24 12:20:10 2021	1635096010	9	343	352	343
Sun Oct 24 12:20:10 2021	1635096010	9	345	354	345
Sun Oct 24 12:20:10 2021	1635096010	9	347	356	347
Sun Oct 24 12:20:10 2021	1635096010	9	356	365	356
Sun Oct 24 12:20:10 2021	1635096010	9	358	366	358
Sun Oct 24 12:20:10 2021	1635096010	9	359	368	359
Sun Oct 24 12:20:10 2021	1635096010	9	368	377	368
Sun Oct 24 12:20:10 2021	1635096010	9	370	378	370
Sun Oct 24 12:20:10 2021	1635096010	9	371	380	371
Sun Oct 24 12:20:10 2021	1635096010	8	380	389	380
Sun Oct 24 12:20:10 2021	1635096010	9	382	390	381
Sun Oct 24 12:20:10 2021	1635096010	8	383	392	383
Sun Oct 24 12:20:10 2021	1635096010	8	392	401	392
Sun Oct 24 12:20:10 2021	1635096010	8	394	402	393
Sun Oct 24 12:20:10 2021	1635096010	8	395	403	395
Sun Oct 24 12:20:10 2021	1635096010	8	403	412	403
Sun Oct 24 12:20:10 2021	1635096010	8	405	414	405
Sun Oct 24 12:20:10 2021	1635096010	8	407	415	407
Sun Oct 24 12:20:10 2021	1635096010	8	416	424	416
Sun Oct 24 12:20:10 2021	1635096010	8	417	426	417
Sun Oct 24 12:20:10 2021	1635096010	8	419	427	419
Sun Oct 24 12:20:10 2021	1635096010	8	428	436	428
Sun Oct 24 12:20:10 2021	1635096010	8	429	438	429
Sun Oct 24 12:20:10 2021	1635096010	8	431	439	431
Sun Oct 24 12:20:10 2021	1635096010	8	440	448	440
Sun Oct 24 12:20:10 2021	1635096010	8	441	449	441
Sun Oct 24 12:20:10 2021	1635096010	8	443	451	443
Sun Oct 24 12:20:10 2021	1635096010	8	452	460	452
Sun Oct 24 12:20:10 2021	1635096010	8	453	461	453
Sun Oct 24 12:20:10 2021	1635096010	8	455	463	455
Sun Oct 24 12:20:10 2021	1635096010	8	465	473	465
Sun Oct 24 12:20:10 2021	1635096010	8	466	474	466
Sun Oct 24 12:20:10 2021	1635096010	8	468	476	468
Sun Oct 24 12:20:10 2021	1635096010	8	478	486	478
Sun Oct 24 12:20:10 2021	1635096010	8	480	488	480
Sun Oct 24 12:20:10 2021	1635096010	8	482	490	482
Sun Oct 24 12:20:10 2021	1635096010	8	491	499	491
Sun Oct 24 12:20:10 2021	1635096010	8	493	501	493
Sun Oct 24 12:20:10 2021	1635096010	8	495	502	495
Sun Oct 24 12:20:10 2021	1635096010	8	504	511	504
Sun Oct 24 12:20:10 2021	1635096010	8	505	513	505
Sun Oct 24 12:20:10 2021	1635096010	8	507	515	507
Sun Oct 24 12:20:10 2021	1635096010	8	516	524	516
Sun Oct 24 12:20:10 2021	1635096010	8	517	525	517
Sun Oct 24 12:20:10 2021	1635096010	8	519	526	518
Sun Oct 24 12:20:10 2021	1635096010	8	528	535	528
Sun Oct 24 12:20:10 2021	1635096010	8	529	537	529
Sun Oct 24 12:20:10 2021	1635096010	8	531	538	530
Sun Oct 24 12:20:10 2021	1635096010	7	540	547	540
Sun Oct 24 12:20:10 2021	1635096010	7	541	549	541
Sun Oct 24 12:20:10 2021	1635096010	7	542	550	542
Sun Oct 24 12:20:10 2021	1635096010	7	551	559	551
Sun Oct 24 12:20:10 2021	1635096010	7	552	560	552
Sun Oct 24 12:20:10 2021	1635096010	7	554	561	554
Sun Oct 24 12:20:10 2021	1635096010	7	563	570	562
Sun Oct 24 12:20:10 2021	1635096010	7	564	571	564
Sun Oct 24 12:20:10 2021	1635096010	7	565	572	565
Sun Oct 24 12:20:10 2021	1635096010	7	574	581	574
Sun Oct 24 12:20:10 2021	1635096010	7	575	582	575
Sun Oct 24 12:20:10 2021	1635096010	7	577	584	577
Sun Oct 24 12:20:10 2021	1635096010	7	585	592	585
Sun Oct 24 12:20:10 2021	1635096010	7	587	594	587
Sun Oct 24 12:20:10 2021	1635096010	7	588	595	588
Sun Oct 24 12:20:10 2021	1635096010	7	597	604	597
Sun Oct 24 12:20:10 2021	1635096010	7	598	605	598
Sun Oct 24 12:20:10 2021	1635096010	7	599	606	599
Sun Oct 24 12:20:10 2021	1635096010	7	608	615	608
Sun Oct 24 12:20:10 2021	1635096010	7	609	616	608
Sun Oct 24 12:20:10 2021	1635096010	7	611	618	611
Sun Oct 24 12:20:10 2021	1635096010	7	620	627	620
Sun Oct 24 12:20:10 2021	1635096010	7	621	628	621
Sun Oct 24 12:20:10 2021	1635096010	7	623	630	623
Sun Oct 24 12:20:10 2021	1635096010	7	632	639	632
Sun Oct 24 12:20:10 2021	1635096010	7	633	639	633
Sun Oct 24 12:20:10 2021	1635096010	7	635	642	635
Sun Oct 24 12:20:10 2021	1635096010	7	644	651	644
Sun Oct 24 12:20:10 2021	1635096010	7	645	651	645
Sun Oct 24 12:20:10 2021	1635096010	7	646	653	646
Sun Oct 24 12:20:10 2021	1635096010	7	656	663	656
Sun Oct 24 12:20:10 2021	1635096010	7	657	663	656
Sun Oct 24 12:20:10 2021	1635096010	7	659	666	659
Sun Oct 24 12:20:10 2021	1635096010	7	668	674	668
Sun Oct 24 12:20:10 2021	1635096010	7	669	675	668
Sun Oct 24 12:20:10 2021	1635096010	6	670	676	670
