starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:13:05 2021	1635095585	9	21	30	21
Sun Oct 24 12:13:05 2021	1635095585	9	32	40	32
Sun Oct 24 12:13:05 2021	1635095585	9	34	42	34
Sun Oct 24 12:13:05 2021	1635095585	0	45	46	37
Sun Oct 24 12:13:05 2021	1635095585	9	45	53	44
Sun Oct 24 12:13:05 2021	1635095585	8	46	55	46
Sun Oct 24 12:13:05 2021	1635095585	8	54	63	54
Sun Oct 24 12:13:05 2021	1635095585	8	56	64	55
Sun Oct 24 12:13:05 2021	1635095585	8	69	78	69
Sun Oct 24 12:13:05 2021	1635095585	8	71	79	71
Sun Oct 24 12:13:05 2021	1635095585	8	83	91	83
Sun Oct 24 12:13:05 2021	1635095585	8	83	92	83
Sun Oct 24 12:13:05 2021	1635095585	8	97	105	97
Sun Oct 24 12:13:05 2021	1635095585	8	99	107	98
Sun Oct 24 12:13:05 2021	1635095585	9	100	109	100
Sun Oct 24 12:13:05 2021	1635095585	8	108	116	108
Sun Oct 24 12:13:05 2021	1635095585	8	109	118	109
Sun Oct 24 12:13:05 2021	1635095585	8	114	122	114
Sun Oct 24 12:13:05 2021	1635095585	8	119	128	119
Sun Oct 24 12:13:05 2021	1635095585	8	121	129	121
Sun Oct 24 12:13:05 2021	1635095585	8	127	136	127
Sun Oct 24 12:13:05 2021	1635095585	8	131	139	131
Sun Oct 24 12:13:05 2021	1635095585	8	131	139	131
Sun Oct 24 12:13:05 2021	1635095585	8	141	149	141
Sun Oct 24 12:13:05 2021	1635095585	8	143	151	143
Sun Oct 24 12:13:05 2021	1635095585	8	143	151	143
Sun Oct 24 12:13:05 2021	1635095585	8	153	161	153
Sun Oct 24 12:13:05 2021	1635095585	8	155	163	155
Sun Oct 24 12:13:05 2021	1635095585	8	157	165	157
Sun Oct 24 12:13:05 2021	1635095585	8	167	175	167
Sun Oct 24 12:13:05 2021	1635095585	8	168	176	168
Sun Oct 24 12:13:05 2021	1635095585	8	170	178	170
Sun Oct 24 12:13:05 2021	1635095585	8	179	187	179
Sun Oct 24 12:13:05 2021	1635095585	8	181	189	181
Sun Oct 24 12:13:05 2021	1635095585	8	182	190	182
Sun Oct 24 12:13:05 2021	1635095585	8	191	199	191
Sun Oct 24 12:13:05 2021	1635095585	8	194	202	194
Sun Oct 24 12:13:05 2021	1635095585	8	195	203	195
Sun Oct 24 12:13:05 2021	1635095585	8	205	212	205
Sun Oct 24 12:13:05 2021	1635095585	8	206	214	206
Sun Oct 24 12:13:05 2021	1635095585	8	207	215	207
Sun Oct 24 12:13:05 2021	1635095585	8	216	224	216
Sun Oct 24 12:13:05 2021	1635095585	8	218	226	218
