starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:24:06 2021	1635096246	0	23	23	6
Sun Oct 24 12:24:06 2021	1635096246	12	20	32	20
Sun Oct 24 12:24:06 2021	1635096246	12	23	34	23
Sun Oct 24 12:24:06 2021	1635096246	12	24	36	24
Sun Oct 24 12:24:06 2021	1635096246	12	34	45	34
Sun Oct 24 12:24:06 2021	1635096246	12	35	47	35
Sun Oct 24 12:24:06 2021	1635096246	12	37	49	37
Sun Oct 24 12:24:06 2021	1635096246	12	45	57	45
Sun Oct 24 12:24:06 2021	1635096246	12	48	60	48
Sun Oct 24 12:24:06 2021	1635096246	12	49	61	49
Sun Oct 24 12:24:06 2021	1635096246	11	60	72	60
Sun Oct 24 12:24:06 2021	1635096246	12	61	73	61
Sun Oct 24 12:24:06 2021	1635096246	11	63	75	63
Sun Oct 24 12:24:06 2021	1635096246	11	72	84	72
Sun Oct 24 12:24:06 2021	1635096246	11	74	85	74
Sun Oct 24 12:24:06 2021	1635096246	11	76	88	76
Sun Oct 24 12:24:06 2021	1635096246	11	85	97	85
Sun Oct 24 12:24:06 2021	1635096246	11	87	98	87
Sun Oct 24 12:24:06 2021	1635096246	11	88	100	88
Sun Oct 24 12:24:06 2021	1635096246	11	97	109	97
Sun Oct 24 12:24:06 2021	1635096246	11	99	110	99
Sun Oct 24 12:24:06 2021	1635096246	11	101	112	101
Sun Oct 24 12:24:06 2021	1635096246	11	109	121	109
Sun Oct 24 12:24:06 2021	1635096246	11	111	122	111
Sun Oct 24 12:24:06 2021	1635096246	11	113	124	113
Sun Oct 24 12:24:06 2021	1635096246	11	121	132	121
Sun Oct 24 12:24:06 2021	1635096246	11	123	134	123
Sun Oct 24 12:24:06 2021	1635096246	11	125	136	125
Sun Oct 24 12:24:06 2021	1635096246	11	133	144	133
Sun Oct 24 12:24:06 2021	1635096246	11	135	146	134
Sun Oct 24 12:24:06 2021	1635096246	11	137	148	137
Sun Oct 24 12:24:06 2021	1635096246	11	145	156	145
Sun Oct 24 12:24:06 2021	1635096246	11	147	158	146
Sun Oct 24 12:24:06 2021	1635096246	11	149	160	148
Sun Oct 24 12:24:06 2021	1635096246	11	157	168	157
Sun Oct 24 12:24:06 2021	1635096246	11	159	170	159
Sun Oct 24 12:24:06 2021	1635096246	11	161	172	161
Sun Oct 24 12:24:06 2021	1635096246	11	170	181	170
Sun Oct 24 12:24:06 2021	1635096246	11	171	182	171
