starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:05:47 2021	1635095147	0	16	17	7
Sun Oct 24 12:05:47 2021	1635095147	7	17	24	17
Sun Oct 24 12:05:47 2021	1635095147	7	21	28	21
Sun Oct 24 12:05:47 2021	1635095147	7	23	30	23
Sun Oct 24 12:05:47 2021	1635095147	7	35	42	35
Sun Oct 24 12:05:47 2021	1635095147	7	38	44	38
Sun Oct 24 12:05:47 2021	1635095147	7	39	46	39
Sun Oct 24 12:05:47 2021	1635095147	7	49	56	49
Sun Oct 24 12:05:47 2021	1635095147	7	51	57	50
Sun Oct 24 12:05:47 2021	1635095147	7	52	59	52
Sun Oct 24 12:05:47 2021	1635095147	7	61	68	61
Sun Oct 24 12:05:47 2021	1635095147	7	63	70	63
Sun Oct 24 12:05:47 2021	1635095147	7	64	71	64
Sun Oct 24 12:05:47 2021	1635095147	7	73	80	73
Sun Oct 24 12:05:47 2021	1635095147	7	75	81	75
Sun Oct 24 12:05:47 2021	1635095147	7	76	83	76
Sun Oct 24 12:05:47 2021	1635095147	7	85	92	85
Sun Oct 24 12:05:47 2021	1635095147	7	86	93	86
Sun Oct 24 12:05:47 2021	1635095147	7	88	94	88
Sun Oct 24 12:05:47 2021	1635095147	7	97	103	97
Sun Oct 24 12:05:47 2021	1635095147	7	97	104	97
Sun Oct 24 12:05:47 2021	1635095147	6	100	106	100
Sun Oct 24 12:05:47 2021	1635095147	6	108	115	108
Sun Oct 24 12:05:47 2021	1635095147	6	109	116	109
Sun Oct 24 12:05:47 2021	1635095147	6	111	118	111
Sun Oct 24 12:05:47 2021	1635095147	6	120	126	120
Sun Oct 24 12:05:47 2021	1635095147	6	121	128	121
Sun Oct 24 12:05:47 2021	1635095147	6	123	129	122
Sun Oct 24 12:05:47 2021	1635095147	6	132	138	132
Sun Oct 24 12:05:47 2021	1635095147	6	133	139	133
Sun Oct 24 12:05:47 2021	1635095147	6	135	141	135
Sun Oct 24 12:05:47 2021	1635095147	6	144	150	144
Sun Oct 24 12:05:47 2021	1635095147	6	145	151	145
Sun Oct 24 12:05:47 2021	1635095147	6	147	153	147
Sun Oct 24 12:05:47 2021	1635095147	6	155	162	155
Sun Oct 24 12:05:47 2021	1635095147	6	157	163	157
Sun Oct 24 12:05:47 2021	1635095147	6	158	165	158
Sun Oct 24 12:05:47 2021	1635095147	6	167	174	167
Sun Oct 24 12:05:47 2021	1635095147	6	169	175	169
