starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:07:10 2021	1635095230	0	13	14	6
Sun Oct 24 12:07:10 2021	1635095230	5	14	19	14
Sun Oct 24 12:07:10 2021	1635095230	5	19	24	19
Sun Oct 24 12:07:10 2021	1635095230	5	22	27	22
Sun Oct 24 12:07:10 2021	1635095230	5	28	33	28
Sun Oct 24 12:07:10 2021	1635095230	5	33	38	33
Sun Oct 24 12:07:10 2021	1635095230	5	37	42	37
Sun Oct 24 12:07:10 2021	1635095230	5	42	47	42
Sun Oct 24 12:07:10 2021	1635095230	5	46	51	46
Sun Oct 24 12:07:10 2021	1635095230	5	50	55	50
Sun Oct 24 12:07:10 2021	1635095230	5	54	59	54
Sun Oct 24 12:07:10 2021	1635095230	5	58	63	58
Sun Oct 24 12:07:10 2021	1635095230	5	63	68	63
Sun Oct 24 12:07:10 2021	1635095230	5	66	71	66
Sun Oct 24 12:07:10 2021	1635095230	5	72	76	72
Sun Oct 24 12:07:10 2021	1635095230	5	76	80	76
Sun Oct 24 12:07:10 2021	1635095230	5	80	84	80
Sun Oct 24 12:07:10 2021	1635095230	5	84	88	84
Sun Oct 24 12:07:10 2021	1635095230	5	88	92	88
Sun Oct 24 12:07:10 2021	1635095230	5	91	95	91
Sun Oct 24 12:07:10 2021	1635095230	5	96	101	96
Sun Oct 24 12:07:10 2021	1635095230	5	100	105	100
Sun Oct 24 12:07:10 2021	1635095230	5	104	109	104
Sun Oct 24 12:07:10 2021	1635095230	5	109	114	109
Sun Oct 24 12:07:10 2021	1635095230	5	113	117	112
Sun Oct 24 12:07:10 2021	1635095230	5	115	120	115
Sun Oct 24 12:07:10 2021	1635095230	5	122	126	122
Sun Oct 24 12:07:10 2021	1635095230	4	125	129	125
Sun Oct 24 12:07:10 2021	1635095230	4	127	131	127
Sun Oct 24 12:07:10 2021	1635095230	4	134	139	134
Sun Oct 24 12:07:10 2021	1635095230	4	137	142	137
Sun Oct 24 12:07:10 2021	1635095230	4	140	145	140
Sun Oct 24 12:07:10 2021	1635095230	4	149	153	149
Sun Oct 24 12:07:10 2021	1635095230	4	150	154	150
Sun Oct 24 12:07:10 2021	1635095230	4	152	156	152
Sun Oct 24 12:07:10 2021	1635095230	4	161	165	161
Sun Oct 24 12:07:10 2021	1635095230	4	163	167	162
Sun Oct 24 12:07:10 2021	1635095230	4	164	168	164
Sun Oct 24 12:07:10 2021	1635095230	4	173	177	173
Sun Oct 24 12:07:10 2021	1635095230	4	175	179	175
Sun Oct 24 12:07:10 2021	1635095230	4	177	181	176
Sun Oct 24 12:07:10 2021	1635095230	4	186	190	186
Sun Oct 24 12:07:10 2021	1635095230	4	188	192	188
Sun Oct 24 12:07:10 2021	1635095230	4	190	194	190
Sun Oct 24 12:07:10 2021	1635095230	4	199	203	199
Sun Oct 24 12:07:10 2021	1635095230	4	201	205	201
Sun Oct 24 12:07:10 2021	1635095230	4	202	206	202
Sun Oct 24 12:07:10 2021	1635095230	4	211	215	211
Sun Oct 24 12:07:10 2021	1635095230	4	213	217	213
Sun Oct 24 12:07:10 2021	1635095230	4	214	218	214
Sun Oct 24 12:07:10 2021	1635095230	4	225	229	225
Sun Oct 24 12:07:10 2021	1635095230	4	226	231	226
Sun Oct 24 12:07:10 2021	1635095230	4	228	232	228
Sun Oct 24 12:07:10 2021	1635095230	4	237	241	237
Sun Oct 24 12:07:10 2021	1635095230	4	239	243	239
Sun Oct 24 12:07:10 2021	1635095230	4	240	244	240
Sun Oct 24 12:07:10 2021	1635095230	4	249	253	249
Sun Oct 24 12:07:10 2021	1635095230	4	251	255	251
Sun Oct 24 12:07:10 2021	1635095230	4	253	257	252
Sun Oct 24 12:07:10 2021	1635095230	4	262	265	261
Sun Oct 24 12:07:10 2021	1635095230	4	263	267	263
Sun Oct 24 12:07:10 2021	1635095230	4	265	269	265
Sun Oct 24 12:07:10 2021	1635095230	4	274	278	274
Sun Oct 24 12:07:10 2021	1635095230	4	276	280	276
Sun Oct 24 12:07:10 2021	1635095230	4	278	281	277
Sun Oct 24 12:07:10 2021	1635095230	4	289	293	289
Sun Oct 24 12:07:10 2021	1635095230	4	289	293	289
Sun Oct 24 12:07:10 2021	1635095230	4	292	296	292
Sun Oct 24 12:07:10 2021	1635095230	4	303	307	303
Sun Oct 24 12:07:10 2021	1635095230	4	305	309	305
Sun Oct 24 12:07:10 2021	1635095230	4	307	311	307
Sun Oct 24 12:07:10 2021	1635095230	4	318	321	318
Sun Oct 24 12:07:10 2021	1635095230	4	319	323	319
Sun Oct 24 12:07:10 2021	1635095230	4	321	325	321
Sun Oct 24 12:07:10 2021	1635095230	4	331	335	331
Sun Oct 24 12:07:10 2021	1635095230	4	333	337	333
Sun Oct 24 12:07:10 2021	1635095230	4	335	339	335
Sun Oct 24 12:07:10 2021	1635095230	4	344	348	344
Sun Oct 24 12:07:10 2021	1635095230	4	345	349	345
Sun Oct 24 12:07:10 2021	1635095230	4	347	350	347
