starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:01:44 2021	1635094904	0	61	62	8
Sun Oct 24 12:01:44 2021	1635094904	39	30	69	30
Sun Oct 24 12:01:44 2021	1635094904	39	33	72	33
Sun Oct 24 12:01:44 2021	1635094904	39	35	74	35
Sun Oct 24 12:01:44 2021	1635094904	38	45	83	45
Sun Oct 24 12:01:44 2021	1635094904	38	47	85	47
Sun Oct 24 12:01:44 2021	1635094904	38	49	87	49
Sun Oct 24 12:01:44 2021	1635094904	38	60	98	60
Sun Oct 24 12:01:44 2021	1635094904	38	60	99	60
Sun Oct 24 12:01:44 2021	1635094904	38	63	101	63
Sun Oct 24 12:01:44 2021	1635094904	38	73	111	73
Sun Oct 24 12:01:44 2021	1635094904	38	75	113	75
Sun Oct 24 12:01:44 2021	1635094904	38	77	115	77
Sun Oct 24 12:01:44 2021	1635094904	38	87	125	87
Sun Oct 24 12:01:44 2021	1635094904	38	88	126	88
Sun Oct 24 12:01:44 2021	1635094904	38	90	128	90
Sun Oct 24 12:01:44 2021	1635094904	38	101	139	100
Sun Oct 24 12:01:44 2021	1635094904	38	102	140	102
Sun Oct 24 12:01:44 2021	1635094904	38	104	142	104
Sun Oct 24 12:01:44 2021	1635094904	38	115	153	115
Sun Oct 24 12:01:44 2021	1635094904	38	116	154	116
Sun Oct 24 12:01:44 2021	1635094904	38	118	156	118
Sun Oct 24 12:01:44 2021	1635094904	38	129	167	129
Sun Oct 24 12:01:44 2021	1635094904	38	130	169	130
Sun Oct 24 12:01:44 2021	1635094904	38	132	170	132
Sun Oct 24 12:01:44 2021	1635094904	38	142	180	142
Sun Oct 24 12:01:44 2021	1635094904	38	144	182	144
Sun Oct 24 12:01:44 2021	1635094904	38	146	184	146
Sun Oct 24 12:01:44 2021	1635094904	38	156	194	156
Sun Oct 24 12:01:44 2021	1635094904	38	158	196	158
Sun Oct 24 12:01:44 2021	1635094904	38	160	198	159
Sun Oct 24 12:01:44 2021	1635094904	38	170	208	170
Sun Oct 24 12:01:44 2021	1635094904	38	172	210	172
Sun Oct 24 12:01:44 2021	1635094904	38	172	210	172
Sun Oct 24 12:01:44 2021	1635094904	38	184	222	184
Sun Oct 24 12:01:44 2021	1635094904	38	186	224	186
Sun Oct 24 12:01:44 2021	1635094904	38	187	225	187
Sun Oct 24 12:01:44 2021	1635094904	38	198	236	198
Sun Oct 24 12:01:44 2021	1635094904	38	200	238	200
Sun Oct 24 12:01:44 2021	1635094904	38	202	240	202
Sun Oct 24 12:01:44 2021	1635094904	38	212	250	212
Sun Oct 24 12:01:44 2021	1635094904	38	213	251	213
Sun Oct 24 12:01:44 2021	1635094904	38	215	253	215
Sun Oct 24 12:01:44 2021	1635094904	38	225	263	225
Sun Oct 24 12:01:44 2021	1635094904	38	227	265	227
Sun Oct 24 12:01:44 2021	1635094904	38	228	265	228
Sun Oct 24 12:01:44 2021	1635094904	38	239	276	239
Sun Oct 24 12:01:44 2021	1635094904	38	240	277	240
Sun Oct 24 12:01:44 2021	1635094904	38	241	279	241
Sun Oct 24 12:01:44 2021	1635094904	38	252	289	252
Sun Oct 24 12:01:44 2021	1635094904	38	253	291	253
Sun Oct 24 12:01:44 2021	1635094904	38	255	293	255
Sun Oct 24 12:01:44 2021	1635094904	38	265	303	265
Sun Oct 24 12:01:44 2021	1635094904	38	267	304	267
Sun Oct 24 12:01:44 2021	1635094904	38	268	305	267
Sun Oct 24 12:01:44 2021	1635094904	38	278	316	278
Sun Oct 24 12:01:44 2021	1635094904	38	280	317	279
Sun Oct 24 12:01:44 2021	1635094904	38	281	319	281
Sun Oct 24 12:01:44 2021	1635094904	38	292	330	292
